sq_ficha,sq_taxon,Nome Cientifico,Nome Comum,Grupo Taxonômico,Categoria de Risco,Unidades de Conservação onde ocorrem,Código CNUC
29702,6755,Sporophila melanogaster,Black-bellied Seedeater/Semillero Ventrinegro/caboclinho-de-barriga-preta,Aves,Vulnerável (VU),Floresta Nacional de São Francisco de Paula/Parque Nacional da Serra Geral/Parque Nacional Aparados da Serra/Parque Nacional de São Joaquim/Parque Nacional dos Campos Gerais/Área de Proteção Ambiental das Ilhas e Várzeas do Rio Paraná/Parque Nacional da Serra da Canastra/Área de Proteção Ambiental do Planalto Central/Parque Nacional de Brasília/ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA/ESTAÇÃO ECOLÓGICA DE ITIRAPINA/APA PIRACICABA JUQUERí-MIRIM AREA II/APA CORUMBATAí/BOTUCATU E TEJUPá PERIMETRO CORUMBATAí/PARQUE ESTADUAL DO TAINHAS/APA JUNDIAí/ESTAÇÃO ECOLÓGICA DE ÁGUAS EMENDADAS/APA SISTEMA CANTAREIRA/APA SERRA DO MAR/ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO,0000.00.01330000.00.01530000.00.01580000.00.01650000.00.02770000.00.00250000.00.01440000.00.00230000.00.0159
21693,6743,Sporophila nigrorufa,Black-and-tawny Seedeater/Semillero Rojinegro/caboclinho-do-sertão,Aves,Vulnerável (VU),Parque Nacional do Pantanal Mato-grossense,0000.00.0175
29703,6759,Sporophila palustris,Marsh Seedeater/Semillero Palustre/caboclinho-de-papo-branco,Aves,Vulnerável (VU),Área de Proteção Ambiental de Ibirapuitã/Área de Proteção Ambiental das Ilhas e Várzeas do Rio Paraná/Parque Nacional das Emas/RESERVA BIOLóGICA DO SãO DONATO/ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA/ESTAÇÃO ECOLÓGICA DE ITIRAPINA/APA CORUMBATAí/BOTUCATU E TEJUPá PERIMETRO CORUMBATAí/RESERVA BIOLóGICA DO IBIRAPUITã/RESERVA BIOLóGICA DO MATO GRANDE/PARQUE ESTADUAL DO JUQUERY/MONUMENTO NATURAL DAS ÁRVORES FOSSILIZADAS,0000.00.00210000.00.00250000.00.0155
28613,6761,Sporophila ruficollis,Dark-throated Seedeater/Semillero Gorjioscuro/caboclinho-de-papo-escuro,Aves,Vulnerável (VU),Área de Proteção Ambiental de Ibirapuitã/Área de Proteção Ambiental das Ilhas e Várzeas do Rio Paraná/Parque Nacional das Emas/ESTAÇÃO ECOLÓGICA DE ITIRAPINA/APA PIRACICABA JUQUERí-MIRIM AREA II/APA CORUMBATAí/BOTUCATU E TEJUPá PERIMETRO CORUMBATAí/ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE/RESERVA BIOLóGICA DO MATO GRANDE,0000.00.00210000.00.00250000.00.0155
9897,287188,Squalus acanthias,Cação-bagre/cação-bagre/cação-de-espinho/cação-gato/cação-olho-de-gato/cação-prego,Peixes Marinhos,Criticamente em Perigo (CR),APA MARINHA DO LITORAL CENTRO,
9434,1020432,Squatina argentina,Cação-anjo-de-asa-longa/cação-anjo-de-asa-longa/tubarão-anjo-argentino,Peixes Marinhos,Criticamente em Perigo (CR),Área de Proteção Ambiental da Baleia Franca/Reserva Biológica Marinha do Arvoredo,0000.00.00060000.00.0214
9443,1011202,Squatina guggenheim,Cação-anjo-espinhudo/cação-anjo-espinhoso/cação-anjo-espinhudo,Peixes Marinhos,Criticamente em Perigo (CR),Monumento Natural Arquipélago das Ilhas Cagarras/Reserva Biológica Marinha do Arvoredo/PARQUE ESTADUAL DA ILHA GRANDE/APA MARINHA DO LITORAL CENTRO,0000.00.00340000.00.0214
9446,1011201,Squatina occulta,Cação-anjo-de-asa-curta/cação-anjo-de-asa-curta/tubarão-anjo-oculto,Peixes Marinhos,Criticamente em Perigo (CR),Reserva Biológica Marinha do Arvoredo,0000.00.0214
28689,525932,Stegastes rocasensis,"donzela-de-rocas, donzela/saberé/saberé-de-rocas",Peixes Marinhos,Vulnerável (VU),Parque Nacional Marinho de Fernando de Noronha/Reserva Biológica do Atol das Rocas/Área de Proteção Ambiental de Fernando de Noronha - Rocas - São Pedro e São Paulo/Monumento Natural do Arquipelago Sao Pedro e Sao Paulo,0000.00.01860000.00.02030000.00.00150000.00.3644
28690,525998,Stegastes sanctipauli,Donzela-de-são-pedro,Peixes Marinhos,Vulnerável (VU),Reserva Biológica do Atol das Rocas/Área de Proteção Ambiental de Fernando de Noronha - Rocas - São Pedro e São Paulo/Área de Proteção Ambiental do Arquipelago Sao Pedro e Sao Paulo/Monumento Natural do Arquipelago Sao Pedro e Sao Paulo,0000.00.02030000.00.00150000.00.36430000.00.3644
